timestamp,sample
1781472809.9840558,-2048
1781472809.9860556,-2048
1781472809.9880557,-2048
1781472809.9900558,-2048
1781472809.9920557,-2048
1781472809.9940557,-2048
1781472809.9960556,-2048
1781472809.9980557,-2048
1781472810.0123446,-2048
1781472810.0143445,-2048
1781472810.0163445,-2048
1781472810.0183446,-2048
1781472810.0203445,-2048
1781472810.0223446,-2048
1781472810.0243444,-2048
1781472810.0263445,-2048
1781472810.0461838,-2048
1781472810.0481837,-2048
1781472810.0501838,-2048
1781472810.0521839,-2048
1781472810.0541837,-2048
1781472810.0561838,-2048
1781472810.0581837,-2048
1781472810.0601838,-2048
1781472810.05748,-2048
1781472810.05948,-2048
1781472810.06148,-2048
1781472810.0634801,-2048
1781472810.06548,-2048
1781472810.06748,-2048
1781472810.06948,-2048
1781472810.07148,-2048
1781472810.0878608,-2048
1781472810.0898607,-2048
1781472810.0918608,-2048
1781472810.0938609,-2048
1781472810.0958607,-2048
1781472810.0978608,-2048
1781472810.0998607,-2048
1781472810.1018608,-2048
1781472810.1174269,-2048
1781472810.1194267,-2048
1781472810.1214268,-2048
1781472810.123427,-2048
1781472810.1254268,-2048
1781472810.1274269,-2048
1781472810.1294267,-2048
1781472810.1314268,-2048
1781472810.148012,-2048
1781472810.1500118,-2048
1781472810.1520119,-2048
1781472810.154012,-2048
1781472810.1560118,-2048
1781472810.158012,-2048
1781472810.1600118,-2048
1781472810.1620119,-2048
1781472810.1630716,-2048
1781472810.1650715,-2048
1781472810.1670716,-2048
1781472810.1690717,-2048
1781472810.1710715,-2048
1781472810.1730716,-2048
1781472810.1750715,-2048
1781472810.1770716,-2048
1781472810.192844,-2048
1781472810.1948438,-2048
1781472810.1968439,-2048
1781472810.198844,-2048
1781472810.2008438,-2048
1781472810.202844,-2048
1781472810.2048438,-2048
1781472810.2068439,-2048
1781472810.2224202,-2048
1781472810.22442,-2048
1781472810.2264202,-2048
1781472810.2284203,-2048
1781472810.23042,-2048
1781472810.2324202,-2048
1781472810.23442,-2048
1781472810.2364202,-2048
1781472810.2386286,-2048
1781472810.2406285,-2048
1781472810.2426286,-2048
1781472810.2446287,-2048
1781472810.2466285,-2048
1781472810.2486286,-2048
1781472810.2506285,-2048
1781472810.2526286,-2048
1781472810.2677805,-2048
1781472810.2697804,-2048
1781472810.2717805,-2048
1781472810.2737806,-2048
1781472810.2757804,-2048
1781472810.2777805,-2048
1781472810.2797804,-2048
1781472810.2817805,-2048
1781472810.297556,-2048
1781472810.2995558,-2048
1781472810.3015559,-2048
1781472810.303556,-2048
1781472810.3055558,-2048
1781472810.307556,-2048
1781472810.3095558,-2048
1781472810.3115559,-2048
1781472810.3283906,-2048
1781472810.3303905,-2048
1781472810.3323905,-2048
1781472810.3343906,-2048
1781472810.3363905,-2048
1781472810.3383906,-2048
1781472810.3403904,-2048
1781472810.3423905,-2048
1781472810.3430543,-2048
1781472810.3450541,-2048
1781472810.3470542,-2048
1781472810.3490543,-2048
1781472810.3510542,-2048
1781472810.3530543,-2048
1781472810.3550541,-2048
1781472810.3570542,-2048
1781472810.373108,-2048
1781472810.3751078,-2048
1781472810.3771079,-2048
1781472810.379108,-2048
1781472810.3811078,-2048
1781472810.383108,-2048
1781472810.3851078,-2048
1781472810.3871078,-2048
1781472810.4028523,-2048
1781472810.4048522,-2048
1781472810.4068522,-2048
1781472810.4088523,-2048
1781472810.4108522,-2048
1781472810.4128523,-2048
1781472810.4148521,-2048
1781472810.4168522,-2048
1781472810.418391,-2048
1781472810.4203908,-2048
1781472810.422391,-2048
1781472810.424391,-2048
1781472810.426391,-2048
1781472810.428391,-2048
1781472810.4303908,-2048
1781472810.432391,-2048
1781472810.4473119,-2048
1781472810.4493117,-2048
1781472810.4513118,-2048
1781472810.453312,-2048
1781472810.4553118,-2048
1781472810.4573119,-2048
1781472810.4593117,-2048
1781472810.4613118,-2048
1781472810.479835,-2048
1781472810.481835,-2048
1781472810.483835,-2048
1781472810.485835,-2048
1781472810.487835,-2048
1781472810.489835,-2048
1781472810.4918349,-2048
1781472810.493835,-2048
1781472810.4937558,-2048
1781472810.4957557,-2048
1781472810.4977558,-2048
1781472810.4997559,-2048
1781472810.5017557,-2048
1781472810.5037558,-2048
1781472810.5057557,-2048
1781472810.5077558,-2048
1781472810.5224051,-2048
1781472810.524405,-2048
1781472810.526405,-2048
1781472810.5284052,-2048
1781472810.530405,-2048
1781472810.5324051,-2048
1781472810.534405,-2048
1781472810.536405,-2048
1781472810.5523443,-2048
1781472810.5543442,-2048
1781472810.5563443,-2048
1781472810.5583444,-2048
1781472810.5603442,-2048
1781472810.5623443,-2048
1781472810.5643442,-2048
1781472810.5663443,-2048
1781472810.5828025,-2048
1781472810.5848024,-2048
1781472810.5868025,-2048
1781472810.5888026,-2048
1781472810.5908024,-2048
1781472810.5928025,-2048
1781472810.5948024,-2048
1781472810.5968025,-2048
1781472810.5979788,-2048
1781472810.5999787,-2048
1781472810.6019788,-2048
1781472810.6039789,-2048
1781472810.6059787,-2048
1781472810.6079788,-2048
1781472810.6099787,-2048
1781472810.6119788,-2048
1781472810.6278026,-2048
1781472810.6298025,-2048
1781472810.6318026,-2048
1781472810.6338027,-2048
1781472810.6358025,-2048
1781472810.6378026,-2048
1781472810.6398025,-2048
1781472810.6418025,-2048
1781472810.6580055,-2048
1781472810.6600053,-2048
1781472810.6620054,-2048
1781472810.6640055,-2048
1781472810.6660054,-2048
1781472810.6680055,-2048
1781472810.6700053,-2048
1781472810.6720054,-2048
1781472810.6728778,-2048
1781472810.6748776,-2048
1781472810.6768777,-2048
1781472810.6788778,-2048
1781472810.6808777,-2048
1781472810.6828778,-2048
1781472810.6848776,-2048
1781472810.6868777,-2048
1781472810.7024627,-2048
1781472810.7044625,-2048
1781472810.7064626,-2048
1781472810.7084627,-2048
1781472810.7104626,-2048
1781472810.7124627,-2048
1781472810.7144625,-2048
1781472810.7164626,-2048
1781472810.7329524,-2048
1781472810.7349522,-2048
1781472810.7369523,-2048
1781472810.7389524,-2048
1781472810.7409523,-2048
1781472810.7429523,-2048
1781472810.7449522,-2048
1781472810.7469523,-2048
1781472810.765281,-2048
1781472810.7672808,-2048
1781472810.769281,-2048
1781472810.771281,-2048
1781472810.7732809,-2048
1781472810.775281,-2048
1781472810.7772808,-2048
1781472810.779281,-2048
1781472810.778293,-2048
1781472810.7802927,-2048
1781472810.7822928,-2048
1781472810.784293,-2048
1781472810.7862928,-2048
1781472810.788293,-2048
1781472810.7902927,-2048
1781472810.7922928,-2048
1781472810.8091125,-2048
1781472810.8111124,-2048
1781472810.8131125,-2048
1781472810.8151126,-2048
1781472810.8171124,-2048
1781472810.8191125,-2048
1781472810.8211124,-2048
1781472810.8231125,-2048
1781472810.841791,-2048
1781472810.8437908,-2048
1781472810.8457909,-2048
1781472810.847791,-2048
1781472810.8497908,-2048
1781472810.851791,-2048
1781472810.8537908,-2048
1781472810.8557909,-2048
1781472810.852604,-2048
1781472810.8546038,-2048
1781472810.8566039,-2048
1781472810.858604,-2048
1781472810.8606038,-2048
1781472810.862604,-2048
1781472810.8646038,-2048
1781472810.8666039,-2048
1781472810.8835986,-2048
1781472810.8855984,-2048
1781472810.8875985,-2048
1781472810.8895986,-2048
1781472810.8915985,-2048
1781472810.8935986,-2048
1781472810.8955984,-2048
1781472810.8975985,-2048
1781472810.9158614,-2048
1781472810.9178612,-2048
1781472810.9198613,-2048
1781472810.9218614,-2048
1781472810.9238613,-2048
1781472810.9258614,-2048
1781472810.9278612,-2048
1781472810.9298613,-2048
1781472810.9274242,-2048
1781472810.929424,-2048
1781472810.9314241,-2048
1781472810.9334242,-2048
1781472810.935424,-2048
1781472810.9374242,-2048
1781472810.939424,-2048
1781472810.9414241,-2048
1781472810.9725652,-2048
1781472810.974565,-2048
1781472810.9765651,-2048
1781472810.9785652,-2048
1781472810.980565,-2048
1781472810.9825652,-2048
1781472810.984565,-2048
1781472810.986565,-2048
1781472810.9874687,-2048
